ReactionId,Order,EffectType,Target,Value,DurationTurns,ChancePct,Notes
Fire_Fire,1,ApplyDotFromHitPct,Enemy,0.1,3,100,Burn DoT = 10% of damage dealt per turn for 3 turns
Fire_Fire,2,TriggerExistingDotsInstant,Enemy,1,0,100,Triggers all existing DoTs to tick instantly once
Fire_Ice,1,CritChanceBonus,Attacker,0.1,0,100,Adds 10% crit chance on this hit only
Fire_Ice,2,CritDamageBonus,Attacker,0.2,0,100,Adds 20% crit damage on this hit only
Fire_Water,1,AddShieldFromHitPct,Attacker,0.05,1,100,Gain Shield = 5% of damage dealt (expires next player turn)
Fire_Wind,1,ApplyStatus,Enemy,Burn,3,100,Apply Burn to enemy (DurationTurns=3)
Fire_Wind,2,ResistDeltaPct_Fire,Enemy,-0.2,2,100,Fire resistance -20% for 2 turns (can go below 0)
Fire_Rock,1,ResistAllDeltaPct,Attacker,0.05,2,100,Add +5% to all resistances for 2 turns
Ice_Ice,1,ResistDeltaPct_Ice,Enemy,-0.3,2,100,Ice resistance -30% for 2 turns (can go below 0)
Ice_Ice,2,CritChanceBonus,Attacker,0.05,0,100,Adds 5% crit chance on this hit only
Ice_Ice,3,CritDamageBonus,Attacker,0.1,0,100,Adds 10% crit damage on this hit only
Ice_Water,1,ApplyStatus,Enemy,Stun,1,100,Enemy is frozen: skips next turn
Ice_Water,2,CritChanceBonus,Attacker,0.1,0,100,Adds 10% crit chance on this hit only
Ice_Water,3,CritDamageBonus,Attacker,0.2,0,100,Adds 20% crit damage on this hit only
Ice_Wind,1,ResistDeltaPct_Ice,Enemy,-0.2,2,100,Ice resistance -20% for 2 turns (can go below 0)
Ice_Rock,1,ResistAllDeltaPct,Attacker,0.05,2,100,Add +5% to all resistances for 2 turns
Water_Ice,1,ApplyStatus,Enemy,Stun,1,100,Enemy is frozen: skips next turn
Water_Ice,2,CritChanceBonus,Attacker,0.1,0,100,Adds 10% crit chance on this hit only
Water_Ice,3,CritDamageBonus,Attacker,0.2,0,100,Adds 20% crit damage on this hit only
Water_Water,1,ResistDeltaPct_Water,Enemy,-0.3,2,100,Water resistance -30% for 2 turns (can go below 0)
Water_Water,2,AddShieldFlat,Attacker,30,1,100,Gain 30 flat Shield (expires next player turn)
Water_Wind,1,ResistDeltaPct_Water,Enemy,-0.2,2,100,Water resistance -20% for 2 turns (can go below 0)
Water_Rock,1,ResistAllDeltaPct,Attacker,0.05,2,100,Add +5% to all resistances for 2 turns
Wind_Fire,1,ApplyDotFromHitPct,Enemy,0.05,2,100,Burn DoT = 5% of damage dealt per turn for 2 turns
Wind_Ice,1,CritChanceBonus,Attacker,0.05,0,100,Adds 5% crit chance on this hit only
Wind_Ice,2,CritDamageBonus,Attacker,0.1,0,100,Adds 10% crit damage on this hit only
Wind_Water,1,AddShieldFromHitPct,Attacker,0.05,1,100,Gain Shield = 5% of damage dealt (expires next player turn)
Wind_Wind,1,ResistDeltaPct_Wind,Enemy,-0.3,2,100,Wind resistance -30% for 2 turns (can go below 0)
Wind_Wind,2,ApplyStatus,Enemy,Stun,1,50,50% chance to skip next turn
Wind_Rock,1,ResistAllDeltaPct,Attacker,0.05,2,100,Stone Gale: +5% all resistances for 2 turns
Rock_Fire,1,ApplyDotFromHitPct,Enemy,0.08,3,100,Burn DoT = 8% of damage dealt per turn for 3 turns
Rock_Ice,1,ResistDeltaPct_Ice,Enemy,-0.2,2,100,Icequake: Ice resistance -20% for 2 turns
Rock_Water,1,AddShieldFromHitPct,Attacker,0.05,1,100,Gain Shield = 5% of damage dealt
Rock_Wind,1,ResistDeltaPct_Rock,Enemy,-0.2,2,100,Rock resistance -20% for 2 turns (Can go below 0)
Rock_Rock,1,ResistAllDeltaPct,Attacker,0.05,2,100,Gain +5% all resistances for 2 turns
Rock_Rock,2,AddShieldFlat,Attacker,30,1,100,Gain 30 flat Shield (expires next player turn)
