ReactionId,Name,DamageMultiplier
Fire_Fire,Pyroclasm,1.3
Fire_Ice,Frostfire,1.5
Fire_Water,Smother,1.25
Fire_Wind,Inferno,1.2
Fire_Rock,Cinderquake,1.35
Ice_Fire,Melt,1.75
Ice_Ice,Coldsnap,1.3
Ice_Water,Freeze,1
Ice_Wind,Blizzard,1.2
Ice_Rock,Glacial Fracture,1.3
Water_Fire,Vaporize,1.5
Water_Ice,Freeze,1
Water_Water,Tidal Surge,1.3
Water_Wind,Monsoon,1.2
Water_Rock,Tsunami,1.35
Wind_Fire,Backdraft,1.3
Wind_Ice,Howling Blast,1.25
Wind_Water,Mist,1.1
Wind_Wind,Tornado,1.2
Wind_Rock,Stone Gale,1.25
Rock_Fire,Magma,1.5
Rock_Ice,Icequake,1.35
Rock_Water,Mudslide,1.3
Rock_Wind,Dust Storm,1.2
Rock_Rock,Fortify,1.3
