Element,Level,XPRequiredToReachLevel,Bonus
Fire,1,0,Base fire damage
Fire,2,25,+5% fire damage
Fire,3,75,+10% fire damage
Fire,4,150,+15% fire damage
Fire,5,250,+20% fire damage
Fire,6,400,+25% fire damage
Fire,7,600,+30% fire damage
Fire,8,850,+35% fire damage
Fire,9,1150,+40% fire damage
Fire,10,1500,+50% fire damage
Ice,1,0,Base ice damage
Ice,2,25,+5% ice damage
Ice,3,75,+10% ice damage
Ice,4,150,+15% ice damage
Ice,5,250,+20% ice damage
Ice,6,400,+25% ice damage
Ice,7,600,+30% ice damage
Ice,8,850,+35% ice damage
Ice,9,1150,+40% ice damage
Ice,10,1500,+50% ice damage
Water,1,0,Base water damage
Water,2,25,+5% water damage
Water,3,75,+10% water damage
Water,4,150,+15% water damage
Water,5,250,+20% water damage
Water,6,400,+25% water damage
Water,7,600,+30% water damage
Water,8,850,+35% water damage
Water,9,1150,+40% water damage
Water,10,1500,+50% water damage
Wind,1,0,Base wind damage
Wind,2,25,+5% wind damage
Wind,3,75,+10% wind damage
Wind,4,150,+15% wind damage
Wind,5,250,+20% wind damage
Wind,6,400,+25% wind damage
Wind,7,600,+30% wind damage
Wind,8,850,+35% wind damage
Wind,9,1150,+40% wind damage
Wind,10,1500,+50% wind damage
Rock,1,0,Base rock damage
Rock,2,25,+5% rock damage
Rock,3,75,+10% rock damage
Rock,4,150,+15% rock damage
Rock,5,250,+20% rock damage
Rock,6,400,+25% rock damage
Rock,7,600,+30% rock damage
Rock,8,850,+35% rock damage
Rock,9,1150,+40% rock damage
Rock,10,1500,+50% rock damage
