Type,DisplayName,EnemyID,Health,World2HealthModifer,World3HealthModifier,World4HealthModifier,World5HealthModifier,Skill1,Skill2,DamageRange,World2DamageModifer,World3DamageModifier,World4DamageModifier,World5DamageModifier,BaseRessistance,World2BaseResistanceModifier,World3BaseResistanceModifier,World4BaseResistanceModifier,World5BaseResistanceModifier,BonusRessistance,Status
Enemy,Grunt,1,70,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,9-11,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,30,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,10,Done
Enemy,Wizard,2,60,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,11-13,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,20,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,25,Done
Enemy,Archer,3,55,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,12-14,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,20,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,15,Done
Enemy,Rogue,4,50,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,13-15,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,15,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,20,Done
Elite Enemy,Juggernaut,5,160,Health * 2,Health * 2.8,Health * 3.6,Health * 4.6,Attack1,Attack2,17-19,Damage * 1.7,Damage * 2.2,Damage * 2.8,Damage * 3.6,35,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,Base Resistance + 30,20,Done
Elite Enemy,Spellbreaker,6,130,Health * 2,Health * 2.8,Health * 3.6,Health * 4.6,Attack1,Attack2,21-23,Damage * 1.7,Damage * 2.2,Damage * 2.8,Damage * 3.6,25,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,Base Resistance + 30,30,Done
Boss Enemy,SlimeBoss,7,420,Health * 2.2,Health * 3.1,Health * 4.0,Health * 5.2,Attack1,Attack2,13-15,Damage * 2,Damage * 2.6,Damage * 3.3,Damage * 4.2,45,Base Resistance + 18,Base Resistance + 23,Base Resistance + 28,Base Resistance + 33,20,Done
Boss Enemy,RainbowBoss,8,320,Health * 2.2,Health * 3.1,Health * 4.0,Health * 5.2,Attack1,Attack2,21-23,Damage * 2,Damage * 2.6,Damage * 3.3,Damage * 4.2,30,Base Resistance + 18,Base Resistance + 23,Base Resistance + 28,Base Resistance + 33,30,Done
Enemy,Shieldbearer,9,85,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,8-10,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,40,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,10,Done
Enemy,Pyromaniac,10,55,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,14-16,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,15,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,25,Done
Enemy,Frostcaller,11,60,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,10-12,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,20,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,30,Done
Enemy,TideShaman,12,65,Health *1.7,Health *2.3,Health *3.0,Health *3.8,Attack1,Attack2,10-12,Damage * 1.5,Damage * 1.9,Damage * 2.4,Damage * 3.0,25,Base Resistance + 10,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,25,Done
Elite Enemy,StormCaptain,13,145,Health * 2,Health * 2.8,Health * 3.6,Health * 4.6,Attack1,Attack2,19-21,Damage * 1.7,Damage * 2.2,Damage * 2.8,Damage * 3.6,30,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,Base Resistance + 30,30,Done
Elite Enemy,StoneColossus,14,190,Health * 2,Health * 2.8,Health * 3.6,Health * 4.6,Attack1,Attack2,15-17,Damage * 1.7,Damage * 2.2,Damage * 2.8,Damage * 3.6,45,Base Resistance + 15,Base Resistance + 20,Base Resistance + 25,Base Resistance + 30,25,Done
Boss Enemy,ElementalHydra,15,380,Health * 2.2,Health * 3.1,Health * 4.0,Health * 5.2,Attack1,Attack2,19-21,Damage * 2,Damage * 2.6,Damage * 3.3,Damage * 4.2,35,Base Resistance + 18,Base Resistance + 23,Base Resistance + 28,Base Resistance + 33,35,Done
Boss Enemy,FallenChampion,16,460,Health * 2.2,Health * 3.1,Health * 4.0,Health * 5.2,Attack1,Attack2,17-19,Damage * 2,Damage * 2.6,Damage * 3.3,Damage * 4.2,40,Base Resistance + 18,Base Resistance + 23,Base Resistance + 28,Base Resistance + 33,25,Done
