DisplayName,PotionID,Stat Affected,Amount,Status
Small Health Potion,1,Health,25,Done
Medium Health Potion,2,Health,50,Done
Large Health Potion,3,Health,75,Done
Small Elemental Impact Potion,4,Elemental Afinity Direct Damage,10,Done
Medium Elemental Impact Potion,5,Elemental Afinity Direct Damage,20,Done
Large Elemental Impact Potion,6,Elemental Afinity Direct Damage,40,Done
Small Crit Rate Potion,7,Crit Rate,5,Done
Medium Crit Rate Potion,8,Crit Rate,10,Done
Large Crit Rate Potion,9,Crit Rate,15,Done
Small Crit Damage Potion,10,Crit Damage,10,Done
Medium Crit Damage Potion,11,Crit Damage,20,Done
Large Crit Damage Potion,12,Crit Damage,30,Done
